# format:aut|changed|aut_name|org_id|source
102|19910110|NSF-HQ-AS|NSF-14-ARIN|ARIN
103|20120402|NWU-AS|NORTHW-9-Z-ARIN|ARIN
104|20140131|COLORADO-AS|UCAB-2-ARIN|ARIN
105|20100714|MOT-MCD-AS|GCSD-4-ARIN|ARIN
106|20050718|GDAIS-ASN-106|GDAIS-4-ARIN|ARIN
107|20080818|ECSNET-AS|7ESG-ARIN|ARIN
108|19910110|XEROX-AS|XEROXC-16-ARIN|ARIN
109|20131028|CISCOSYSTEMS|CISCOS-2-ARIN|ARIN
110|19910110|XAIT-AS|XAIT-ARIN|ARIN
111|19970616|BOSTONU-AS|BOSU-ARIN|ARIN
112|20120302|ROOTSERV|OARCI-ARIN|ARIN
113|19910110|SCCNET-AS|SPACEC-7-ARIN|ARIN
114|20120302|NTTA-114|NTTAM-1-ARIN|ARIN
115|20110629|DNIC-AS-00115|DNIC-ARIN|ARIN
116|20120320|TELCORDIA|TELCOR-5-ARIN|ARIN
117|19910110|ALBM-NET-AS|LAD-ARIN|ARIN
118|20110705|DNIC-AS-00118|NNICN-1-ARIN|ARIN
119|20120402|AMS-AS|AMS-26-Z-ARIN|ARIN
120|20060725|MITRE-OMAHA|THEMIT-1-ARIN|ARIN
121|20120802|DNIC-AS-00121|DNIC-ARIN|ARIN
122|20110809|U-PGH-NET-AS|UPMC-ARIN|ARIN
123|20080818|LOGAIRCOMNET-AS|7ESG-ARIN|ARIN
124|20090514|DNIC-AS-00124|DNIC-ARIN|ARIN
125|20001018|HI-NET-AS|HONEYW-ARIN|ARIN
126|20120423|DNIC-AS-00126|DNIC-ARIN|ARIN
127|20090720|JPL-AS127|JPL-15-ARIN|ARIN
128|19930812|ADS-AS|ADS-8-ARIN|ARIN
129|20110705|DNIC-AS-00129|DNIC-ARIN|ARIN
130|19910110|CSOCNET-AS|SCD-31-ARIN|ARIN
131|19961224|UCSB-NET-AS|UCSB-ARIN|ARIN
132|20080818|WPAFB-CSD-NET-AS|7ESG-ARIN|ARIN
133|20080818|AFIT-AS|7ESG-ARIN|ARIN
134|19910110|CORONA-GW-AS|FAC-34-ARIN|ARIN
135|20090514|DNIC-AS-00135|DNIC-ARIN|ARIN
136|20090212|AF-ASN-136|7ESG-ARIN|ARIN
137|20000101|ASGARR|ORG-GIRA1-RIPE|RIPE
138|20090526|DNIC-AS-00138|DNIC-ARIN|ARIN
139|20110705|DNIC-AS-00139|NNICN-1-ARIN|ARIN
140|20090528|DNIC-AS-00140|DNIC-ARIN|ARIN
141|20110705|DNIC-AS-00141|NNICN-1-ARIN|ARIN
142|20110802|DNIC-AS-00142|HEADQU-3-ARIN|ARIN
143|19910110|OOG1-AS|1881CS-ARIN|ARIN
144|19960807|ATT-INTERNET|LTL-22-ARIN|ARIN
145|20090825|VBNS|MCC-194-ARIN|ARIN
146|20090515|HQEIS-AS|7ESG-ARIN|ARIN
147|20120726|DNIC-AS-00147|DNIC-ARIN|ARIN
148|20110705|DNIC-AS-00148|NNICN-1-ARIN|ARIN
149|20090526|DNIC-AS-00149|DNIC-ARIN|ARIN
150|20140527|DNIC-AS-00150|DNIC-ARIN|ARIN
151|19990723|IND-NTC-AS|HP-ARIN|ARIN
152|19910110|SRI-ACCATT-AS|SRIINT-6-ARIN|ARIN
153|20121106|CTNOSC-ASN-153|HEADQU-3-ARIN|ARIN
154|20110824|DNIC-AS-00154|HEADQU-3-ARIN|ARIN
155|20090526|DNIC-AS-00155|DNIC-ARIN|ARIN
156|20000128|NORTHEASTERN-GW-AS|NORTHE-7-ARIN|ARIN
157|20120302|INTELLIAUTON|SGIC-1-ARIN|ARIN
158|20120302|ERI-AS|ENS-3-ARIN|ARIN
159|20131216|OSUNET-AS|OSU-ARIN|ARIN
160|20120117|U-CHICAGO-AS|UNIVER-174-ARIN|ARIN
161|19910110|TI-AS|TEXASI-3-ARIN|ARIN
162|20110705|DNIC-AS-00162|NNICN-1-ARIN|ARIN
163|19990203|IBM-RESEARCH-AS|IARC-1-ARIN|ARIN
164|20110629|DNIC-AS-00164|DNIC-ARIN|ARIN
165|20110705|DNIC-AS-00165|DNIC-ARIN|ARIN
166|20120402|IDA-AS|IDA-2-Z-ARIN|ARIN
167|19990826|WESLEYAN-AS|WESLEY-2-ARIN|ARIN
168|20070323|UMASS-AMHERST|UNIVER-6-ARIN|ARIN
169|20090501|HANSCOM-NET-AS|7ESG-ARIN|ARIN
170|20110705|DNIC-AS-00170|DNIC-ARIN|ARIN
171|20120302|SOX-RES|SOUTH-176-ARIN|ARIN
172|20110824|DNIC-AS-00172|HEADQU-3-ARIN|ARIN
173|20041221|ERX-ECLNET|@aut-173-APNIC|APNIC
174|20120302|COGENT-174|COGC-ARIN|ARIN
175|20090501|PL-AS|7ESG-ARIN|ARIN
176|19910110|BCN-AS|ISNC-ARIN|ARIN
177|20090429|UMICH-AS-1|UNIVER-118-ARIN|ARIN
178|20090529|UMICH-AS-2|UNIVER-118-ARIN|ARIN
179|20090429|UMICH-AS-3|UNIVER-118-ARIN|ARIN
180|20090429|UMICH-AS-4|UNIVER-118-ARIN|ARIN
181|20120402|MERIT-AS-1|MICH-Z-ARIN|ARIN
182|20120402|MERIT-AS-2|MICH-Z-ARIN|ARIN
183|20120402|MERIT-AS-3|MICH-Z-ARIN|ARIN
184|20120402|MERIT-AS-4|MICH-Z-ARIN|ARIN
185|20120402|MERIT-AS-5|MICH-Z-ARIN|ARIN
186|19910110|CUA-AS|CUA-ARIN|ARIN
187|20120320|DNSCAST-AS|WOODY-2-ARIN|ARIN
188|20140912|SAIC-AS|LEIDO-ARIN|ARIN
189|20120224|LVLT-189|LVLT-ARIN|ARIN
190|20110705|DNIC-AS-00190|NNICN-1-ARIN|ARIN
191|20110705|DNIC-AS-00191|NNICN-1-ARIN|ARIN
192|20021106|ROCHINSTTECH|RIT-3-ARIN|ARIN
193|20081003|FORD-ASN|LMWDL-ARIN|ARIN
194|20060426|NCAR-AS|UCAR-1-ARIN|ARIN
195|19981029|SDSC-AS|SDSC-ARIN|ARIN
196|20140910|RISC-SYSTEM|THEBOE-ARIN|ARIN
197|20120224|RAYTHEON-AS-2|RAYTHE-ARIN|ARIN
198|20090506|DNIC-AS-00198|DNIC-ARIN|ARIN
199|20120224|LVLT-199-203|LVLT-ARIN|ARIN
200|20120224|LVLT-199-203|LVLT-ARIN|ARIN
201|20120224|LVLT-199-203|LVLT-ARIN|ARIN
202|20120224|LVLT-199-203|LVLT-ARIN|ARIN
203|20120224|LVLT-199-203|LVLT-ARIN|ARIN
204|20120402|PSCNET-AS|PSC-Z-ARIN|ARIN
205|20001120|MONTCLAIR-AS|MSU-6-ARIN|ARIN
206|20130430|CSC-IGN-AMER|CSC-197-ARIN|ARIN
207|19910110|CLI-GW-AS|COMPUT-1-ARIN|ARIN
208|20110705|DNIC-AS-00208|NNICN-1-ARIN|ARIN
209|20120224|ASN-QWEST|QCC-18-ARIN|ARIN
210|19990113|WEST-NET-WEST|UEN-4-ARIN|ARIN
211|19910110|RADC-LONS-GW-AS|RADC-2-ARIN|ARIN
212|19910110|HQAFSC-LONS-GW-AS|HAFSC-ARIN|ARIN
213|20110824|DNIC-AS-00213|HEADQU-3-ARIN|ARIN
214|20110705|DNIC-AS-00214|NNICN-1-ARIN|ARIN
215|20110824|DNIC-AS-00215|HEADQU-3-ARIN|ARIN
216|20080818|LMSC-HOSTNET-AS|7ESG-ARIN|ARIN
217|20140820|UMN-SYSTEM|UNIVER-233-Z-ARIN|ARIN
218|20080818|AFOTECPCNET-AS|7ESG-ARIN|ARIN
219|20110705|DNIC-AS-00219|NNICN-1-ARIN|ARIN
220|20080818|OOALC-HOSTNET-AS|7ESG-ARIN|ARIN
221|20080818|WRALC-HOSTNET-AS|7ESG-ARIN|ARIN
222|20080818|SMALC-HOSTNET-AS|7ESG-ARIN|ARIN
223|20120302|TISW-AS|SPART-3-ARIN|ARIN
224|20000101|UNINETT|ORG-UA17-RIPE|RIPE
225|20130422|VIRGINIA-AS|UVA-ARIN|ARIN
226|20030915|LOS-NETTOS-AS|LNET-ARIN|ARIN
227|20110824|DNIC-AS-00227|HEADQU-3-ARIN|ARIN
228|20130222|DNIC-AS-00228|DNIC-ARIN|ARIN
229|20120402|MERIT-AS-6|MICH-Z-ARIN|ARIN
230|20120402|MERIT-AS-7|MICH-Z-ARIN|ARIN
231|20120402|MERIT-AS-8|MICH-Z-ARIN|ARIN
232|20120402|MERIT-AS-9|MICH-Z-ARIN|ARIN
233|20120402|MERIT-AS-10|MICH-Z-ARIN|ARIN
234|20000530|BLACKROSE-1|BLACKR-2-ARIN|ARIN
235|20120402|MERIT-AS-12|MICH-Z-ARIN|ARIN
236|20120402|MERIT-AS-13|MICH-Z-ARIN|ARIN
